bus,fueltype,c2,c1,c0,pmax,ess,canidate,gen_id
17,Batteries,0.06757,16.371712,401.19412,0.0,1,1,309
50,Batteries,0.06757,16.371712,401.19412,0.0,1,1,310
70,Batteries,0.06757,16.371712,401.19412,0.0,1,1,311
400,Batteries,0.06757,16.371712,401.19412,0.0,1,1,312
315,Batteries,0.06757,16.371712,401.19412,0.0,1,1,313
81,Batteries,0.06757,16.371712,401.19412,0.0,1,1,314
473,Batteries,0.06757,16.371712,401.19412,0.0,1,1,315
57,Batteries,0.06757,16.371712,401.19412,0.0,1,1,316
431,Batteries,0.06757,16.371712,401.19412,0.0,1,1,317
24,Batteries,0.06757,16.371712,401.19412,0.0,1,1,318
66,Batteries,0.06757,16.371712,401.19412,0.0,1,1,319
51,Batteries,0.06757,16.371712,401.19412,0.0,1,1,320
83,Batteries,0.06757,16.371712,401.19412,0.0,1,1,321
393,Batteries,0.06757,16.371712,401.19412,0.0,1,1,322
483,Batteries,0.06757,16.371712,401.19412,0.0,1,1,323
274,Batteries,0.06757,16.371712,401.19412,0.0,1,1,324
22,Batteries,0.06757,16.371712,401.19412,0.0,1,1,325
56,Batteries,0.06757,16.371712,401.19412,0.0,1,1,326
430,Batteries,0.06757,16.371712,401.19412,0.0,1,1,327
456,Batteries,0.06757,16.371712,401.19412,0.0,1,1,328
488,Batteries,0.06757,16.371712,401.19412,0.0,1,1,329
386,Batteries,0.06757,16.371712,401.19412,0.0,1,1,330
391,Batteries,0.06757,16.371712,401.19412,0.0,1,1,331
418,Batteries,0.06757,16.371712,401.19412,0.0,1,1,332
113,Batteries,0.06757,16.371712,401.19412,0.0,1,1,333
376,Batteries,0.06757,16.371712,401.19412,0.0,1,1,334
353,Batteries,0.06757,16.371712,401.19412,0.0,1,1,335
350,Batteries,0.06757,16.371712,401.19412,0.0,1,1,336
31,Batteries,0.06757,16.371712,401.19412,0.0,1,1,337
3,Batteries,0.06757,16.371712,401.19412,0.0,1,1,338
34,Batteries,0.06757,16.371712,401.19412,0.0,1,1,339
482,Batteries,0.06757,16.371712,401.19412,0.0,1,1,340
373,Batteries,0.06757,16.371712,401.19412,0.0,1,1,341
487,Batteries,0.06757,16.371712,401.19412,0.0,1,1,342
86,Batteries,0.06757,16.371712,401.19412,0.0,1,1,343
406,Batteries,0.06757,16.371712,401.19412,0.0,1,1,344
2,Batteries,0.06757,16.371712,401.19412,0.0,1,1,345
489,Batteries,0.06757,16.371712,401.19412,0.0,1,1,346
9,Batteries,0.06757,16.371712,401.19412,0.0,1,1,347
109,Batteries,0.06757,16.371712,401.19412,0.0,1,1,348
401,Batteries,0.06757,16.371712,401.19412,0.0,1,1,349
36,Batteries,0.06757,16.371712,401.19412,0.0,1,1,350
16,Batteries,0.06757,16.371712,401.19412,0.0,1,1,351
362,Batteries,0.06757,16.371712,401.19412,0.0,1,1,352
381,Batteries,0.06757,16.371712,401.19412,0.0,1,1,353
77,Batteries,0.06757,16.371712,401.19412,0.0,1,1,354
359,Batteries,0.06757,16.371712,401.19412,0.0,1,1,355
481,Batteries,0.06757,16.371712,401.19412,0.0,1,1,356
446,Batteries,0.06757,16.371712,401.19412,0.0,1,1,357
449,Batteries,0.06757,16.371712,401.19412,0.0,1,1,358
458,Batteries,0.06757,16.371712,401.19412,0.0,1,1,359
87,Batteries,0.06757,16.371712,401.19412,0.0,1,1,360
68,Batteries,0.06757,16.371712,401.19412,0.0,1,1,361
91,Batteries,0.06757,16.371712,401.19412,0.0,1,1,362
414,Batteries,0.06757,16.371712,401.19412,0.0,1,1,363
